fyear,admimeth,same_day,spells,beddays
201314,elec,0,1369218,8572964.0
201314,non-elec,0,5275361,38601351.0
201314,elec,1,6625029,3312514.5
201314,non-elec,1,2065401,1032700.5
201415,non-elec,0,5348784,38701371.0
201415,elec,0,1335043,8114245.0
201415,non-elec,1,2134485,1067242.5
201415,elec,1,6924423,3462211.5
201516,elec,0,1289584,7737496.0
201516,non-elec,0,5394007,38781810.0
201516,elec,1,7170084,3585042.0
201516,non-elec,1,2239315,1119657.5
201617,elec,0,1261355,7457090.0
201617,non-elec,0,5379149,39018745.0
201617,elec,1,7412120,3706060.0
201617,non-elec,1,2308686,1154343.0
201718,elec,0,1209209,7342803.0
201718,non-elec,0,5451010,38810703.0
201718,non-elec,1,2420176,1210088.0
201718,elec,1,7370057,3685028.5
201819,non-elec,0,5514152,38092168.0
201819,elec,0,1190041,6712789.0
201819,elec,1,7622598,3811299.0
201819,non-elec,1,2634829,1317414.5
201920,elec,0,1124852,6024515.0
201920,non-elec,0,5477386,38172565.0
201920,elec,1,7718553,3859276.5
201920,non-elec,1,2719677,1359838.5
202021,non-elec,0,4722025,31231523.0
202021,elec,0,659681,3967691.0
202021,elec,1,4961870,2480935.0
202021,non-elec,1,2286275,1143137.5
202122,elec,0,942834,5232919.0
202122,non-elec,0,5169984,35880613.0
202122,non-elec,1,2692551,1346275.5
202122,elec,1,6984785,3492392.5
202223,elec,0,977004,6699258.0
202223,non-elec,0,4984663,38494612.0
202223,non-elec,1,2685368,1342684.0
202223,elec,1,7579922,3789961.0
202324,non-elec,0,5199007,39415076.0
202324,elec,0,1029955,5549263.0
202324,elec,1,8115713,4057856.5
202324,non-elec,1,2976436,1488218.0
202425,non-elec,0,5257236,39177318.0
202425,elec,0,1112048,5714603.0
202425,elec,1,8837352,4418676.0
202425,non-elec,1,3007919,1503959.5
